YEAR,TITLE,SUBGENRE,DIRECTOR,RANKING,PLOT SUMMARY
1973,Westworld,Science fiction,Michael Crichton,18,"In 1983, a high-tech, highly realistic adult amusement park called Delos features three themed ""worlds"": Western World (the American Old West), Medieval World (medieval Europe), and Roman World (the ancient Roman city of Pompeii). The resort's three ""worlds"" are populated with lifelike androids that are practically indistinguishable from human beings, each programmed in character for their assigned historical environment. For $1,000 per day, guests may indulge in any adventure with the android population of the park, including sexual encounters and a simulated fight to the death. Delos's tagline in its advertising promises ""Boy, have we got a vacation for you!""

Peter Martin, a first-time Delos visitor, and his friend John Blane, on a repeat visit, go to Westworld. One of the attractions is the Gunslinger, an android programmed to instigate gunfights. The firearms issued to the park guests have temperature sensors that prevent them from shooting anything with a high body temperature, such as humans, but allow them to ""kill"" the cold-blooded androids. The Gunslinger's programming allows guests to draw their guns and kill it, with the android always returning the next day for another duel.

The technicians running Delos notice problems beginning to spread like an infection among the androids: the androids in Roman World and Medieval World begin experiencing an increasing number of breakdowns and systemic failures, which are said to have spread to Westworld. When one of the supervising computer scientists scoffs at the ""analogy of an infectious disease"", he is told by the chief supervisor ""We aren't dealing with ordinary machines here. These are highly complicated pieces of equipment, almost as complicated as living organisms. In some cases, they've been designed by other computers. We don't know exactly how they work.""

After a night spent with two robotic ladies, Blane is accosted by the same gunslinger Martin killed in the saloon the previous day. Martin bursts into the room and once again shoots the gunslinger dead. Martin is jailed awaiting trial, so Blane breaks him out and the two head out of town.

The malfunctions become more serious when a robotic rattlesnake bites Blane in Westworld, and, against its programming, a female android refuses a guest's advances in Medieval World. The failures escalate until Medieval World's Black Knight android kills a guest in a sword fight. The resort's supervisors try to regain control by shutting down power to the entire park. However, the shutdown traps them in central control when the doors automatically lock, unable to turn the power back on and escape. Meanwhile, the androids in all three worlds run amok, operating on reserve power.

Martin and Blane, recovering from a drunken bar-room brawl, wake up in Westworld's brothel, unaware of the park's massive breakdown. When the Gunslinger challenges the men to a showdown, Blane treats the confrontation as an amusement but the android shoots him, killing him. Martin runs for his life and the android implacably follows.

Martin flees to the other areas of the park, but finds only dead guests, damaged androids, and a panicked technician attempting to escape Delos, who is shortly thereafter shot and killed by the Gunslinger. Martin climbs down through a manhole in Roman World into the underground control complex and discovers that the resort's computer technicians suffocated in the control room when the ventilation system shut down. The Gunslinger stalks him through the underground corridors, so he runs away until he enters an android-repair laboratory. When the Gunslinger enters the room, Martin pretends to be an android, throws acid into the Gunslinger's face, and flees, returning to the surface inside the Medieval World castle.

With its optical inputs damaged by the acid, the Gunslinger is unable to track Martin visually and tries to find Martin using its infrared scanners. Martin stands beneath the flaming torches of the Great Hall to mask his presence from the android, before setting it on fire with one of the torches. The burned shell of the Gunslinger attacks him on the dungeon steps before succumbing to its damage. Martin sits on the dungeon steps in a state of near-exhaustion and shock, as the irony of Delos' slogan resonates: ""Boy, have we got a vacation for you!"""
1973,Flesh for Frankenstein,Science fiction,Paul Morrissey,27,"Baron von Frankenstein neglects his duties towards his wife/sister Katrin, as he is obsessed with creating a perfect Serbian race to obey his commands, beginning by assembling a perfect male and female from parts of corpses. The doctor's sublimation of his sexual urges by his powerful urge for domination is shown when he utilizes the surgical wounds of his female creation to satisfy his lust. Frankenstein is dissatisfied with the inadequate reproductive urges of his current male creation and seeks a head donor with a greater libido; he also repeatedly exhibits an intense interest that the creature's ""nasum"" (nose) have a correctly Serbian shape.[3]

As it turns out, a suitably randy farmhand, Nicholas, leaving a local brothel along with his sexually repressed friend, brought there in an unsuccessful attempt to dissuade him from entering a monastery, are spotted and waylaid by the doctor and his henchman, Otto (Arno Jürging); mistakenly assuming that the prospective monk is also suitable for stud duty, they take his head for use on the male creature. Not knowing these behind-the-scenes details, Nicholas survives and is summoned by Katrin to the castle, where they form an agreement that he will gratify her unsatisfied carnal appetites.[3]

Under the control of Frankenstein, the male and female creatures are seated for dinner with the castle's residents, but the male creature shows no signs of recognition of his friend as he serves the doctor and his family. Nicholas realizes at this point that something is awry, but himself pretends not to recognize his friend's face until he can investigate further. After a falling-out with Katrin, who is merely concerned with her own needs, Nicholas goes snooping in the laboratory and is captured by the doctor. Frankenstein muses about using his new acquisition to replace the head of his creature, who is still showing no signs of libido. Nevertheless, Katrin is rewarded for betraying Nicholas by being granted use of the creature for erotic purposes, but is killed during a bout of overly vigorous copulation.

Meanwhile, Otto repeats the doctor's sexual exploits with the female creature, resulting in her graphic disembowelment. Frankenstein returns and, enraged, does away with Otto. When he attempts to have the male creature eliminate Nicholas, however, the remnants of his friend's personality rebel and the doctor is killed in a gruesome fashion. The creature, believing he is better off dead, then disembowels himself. Frankenstein's children, Erik and Monica, then enter the laboratory, pick up a pair of scalpels and proceed to turn the wheel of the crane that is holding Nicholas in mid-air. It is not clear if the scalpels are there in order to release him, or take over where their father left off.[3]"
1973,The Legend of Hell House,Supernatural,John Hough,46,"The physicist Dr. Lionel Barrett is enlisted by eccentric millionaire Mr. Deutsch to make an investigation into ""survival after death"" in ""the one place where it has yet to be refuted"". This is Belasco House, the ""Mount Everest of haunted houses"", originally owned by the notorious ""Roaring Giant"" Emeric Belasco, a six-foot-five perverted millionaire and supposed murderer, who disappeared soon after a massacre at his home. The house is believed to be haunted by numerous spirits, the victims of Belasco's twisted and sadistic desires.

Accompanying Barrett are his wife, Ann, as well as two mediums: mental medium and spiritualist minister Florence Tanner and physical medium Benjamin Franklin ""Ben"" Fischer, who is the only survivor of an investigation conducted 20 years before.

The group arrive to begin their investigation a week before Christmas Eve, and the rationalist Barrett is rudely skeptical of Florence's belief in ""surviving personalities"", spirits which haunt the physical world, and he asserts that there is nothing but unfocused electromagnetic energy in the house. Barrett brings a machine he has developed, which he believes will rid the house of this energy.

Though not a physical medium, Florence begins to manifest physical phenomena inside the house. When, after a quarrel with Tanner, Barrett is attacked by invisible forces, he suspects that Florence may be using the house's energy against him. Meanwhile, Fischer remains aloof, with his mind closed to the house's influence, and is only there to collect the generous paycheck.

Ann Barrett is subjected to erotic visions late at night, which seem linked to her lackluster sex life. She goes downstairs and, in an apparent trance, disrobes and demands sex from Fischer. He strikes her, snapping her out of the trance, and she returns to herself, horrified and ashamed. A second incident occurs a day or so later; this time, she is awake but uninhibited due to alcohol. Her husband arrives a moment later to witness her advances to Fischer. He is resentful, and spurns Fischer's warnings that the house is affecting Ann, claiming that ""Mr. Deutsch is wasting one-third of his money!"" Stricken by the accusation, Fischer drops his psychic shields, but he is immediately attacked.

Florence is convinced that one of the ""surviving personalities"" is Daniel, Belasco's tormented son, and she is determined to prove it at all costs. She finds a human skeleton chained behind a wall. Believing it to be Daniel, Florence and Fischer bury the body outside the house and Florence performs a funeral. Nevertheless, Daniel's ""personality"" continues to haunt Florence; she is scratched violently by a possessed cat. Barrett suspects that Florence is mutilating herself. In an attempt to put Daniel to rest, Florence gives herself to the entity sexually, but the entity brutalizes her and possesses her body.

Barrett's machine is assembled. Possessed by the malevolent spirit, Florence attempts to destroy it, thinking that it will harm the spirits in the house, but she is prevented from doing serious damage. She enters the chapel, ""the unholy heart"" of the house, in an attempt to warn the spirits, but she is crushed by a falling crucifix. As she dies, she leaves a symbol written in her own blood. Barrett activates his machine, which seems to be effective. Fischer wanders the house afterwards, attempting to sense psychic energy; in astonishment, he declares the place ""completely clear!"" But violent psychic activity soon resumes, and Barrett is killed.

Fischer decides to confront the house, and Ann accompanies him despite her misgivings. Deciphering Florence's dying clue, Fischer deduces that Belasco is the sole entity haunting the house, masquerading as many. He taunts Belasco, declaring him a ""son of a whore"", and that he was no ""roaring giant"", but instead more likely a ""funny little dried-up bastard"" who fooled everyone about his alleged height. Even as objects begin to hurl themselves at Fischer, he continues to defy the entity, challenging, ""What size WERE you? Five foot two? One? I know! I'll bet you weren't even five foot tall!"" At that, all becomes still. Fischer then concentrates, and a stained-glass partition in the chapel shatters, revealing a hidden door.

Fischer and Ann discover a lead-lined room, containing Belasco's preserved body seated in a chair. Pulling out a pocket knife, Fischer rips open Belasco's trouser leg, discovering his final secret: a pair of prosthetic legs. Fischer realises that Belasco had had his own stunted legs amputated, and that he had used the prosthetics with which they were replaced in a grotesque attempt to appear imposing. Belasco also had the specially built room lined with lead, presaging the discovery of the electromagnetic nature of life after death.

With the room now open, Fischer activates Barrett's machine a second time, and he and Ann leave the house, hoping that Barrett and Florence will guide Belasco to the afterlife without fear."
1973,Theater of Blood,Horror comedy,Douglas Hickox,87,"After being humiliated by the members of the Theatre Critics Guild at an awards ceremony the Shakespearean actor Edward Kendal Sheridan Lionheart (Vincent Price) is seen committing suicide by diving into the Thames from a great height. In fact he survives and is rescued by a group of vagrants. Two years later, beginning on the Ides of March, Lionheart sets out to exact vengeance against the critics who failed to acclaim his genius, killing them one by one in ways very similar to murder scenes in the season of Shakespeare's plays that he last performed. Before each murder Lionheart recites the critic's damning review of his performance in the role.

The first critic, George Maxwell, is repeatedly stabbed by a mob of murderous homeless people, suggested by the murder of Caesar in Julius Caesar. The second, Hector Snipe, is stabbed with a spear and his body is dragged away, to appear at George Maxwell's funeral tied to a horse's tail, replicating the murder of Hector in Troilus and Cressida. The third, Horace Sprout, is decapitated while sleeping, as was Cloton in Cymbeline. The fourth critic, Trevor Dickman, has his heart cut out by Shylock in The Merchant of Venice, the play being rewritten so that Antonio is forced to repay his debt with a pound of flesh. The fifth, Oliver Larding, is drowned in a barrel of wine, as is the Duke of Clarence in Richard III. For the next play, Romeo and Juliet, Lionheart lures the critic Peregrine Devlin to a fencing gymnasium, where he reenacts the sword fight from the play. He badly wounds Devlin, but chooses not to kill him at this juncture. The sixth critic, Solomon Psaltery, an obsessively jealous man, murders his wife believing her to be unfaithful, as portrayed in Othello. Although this critic survives, his actions lead to his imprisonment and it is speculated that because of his age he will die in prison. The seventh critic, Miss Chloe Moon, the only female victim, is electrocuted to replicate the burning of Joan of Arc in Henry VI, Part 1. The eighth critic, Meredith Merridew, a flamboyant gourmand, is forcefed pies made from the flesh of his two toy poodles (whom he regards as his ""babies"") until he chokes to death, replicating the death of Queen Tamora in Titus Andronicus who is fed her children in a pie.

It is revealed early in the film that Lionheart’s adoring daughter Edwina is helping him. Eventually she is arrested as the prime suspect in the murders, forcing Lionheart to reveal himself to Devlin. Lionheart tells Devlin to give him the award or be killed. Devlin refuses and Lionheart plans to put out his eyes with red-hot daggers, as with Gloucester in King Lear. His contraption gets stuck, however, just as the police arrive to save Devlin. Lionheart sets fire to the theatre and in the confusion, one of the vagrants kills Edwina by hitting her hard on the head with the award statuette, unwittingly casting her in the role of Cordelia, Lear's youngest daughter. Lionheart retreats, carrying her body to the roof and delivering Lear's final monologue before the roof caves in, sending him to his death."
1974,Beyond the Door,Supernatural,"Ovidio G. Assonitis, Roberto Piazzoli",31,"Jessica Barrett, a young English mother living in San Francisco, reveals to her music executive husband, Robert, that she is pregnant. The couple already have two young children: a son, Ken, and daughter, Gail. Several days later, during Ken's birthday party, Robert finds Jessica violently ill and vomiting in the bathroom. After visiting Dr. George Staton, her obstetrician and personal friend, Jessica is informed that she is in fact three months pregnant, not the mere weeks she believed.

Over the course of her pregnancy, Jessica finds herself subject to violent mood swings, apparent hallucinations of voices, and poltergeist phenomenon. On one occasion, Jessica is awoken by disembodied wheezing, and levitates into the air and wheezes violently all through her house. George confides in a worried Robert that Jessica's pregnancy is progressing at an unbelievably rapid rate. Fearing for her wellbeing, George arranges for Jessica to spend time with his wife, Barbara, hoping she will confide in her.

Jessica tells George she wants an abortion, but swiftly vacillates, accusing him of being a murderer when he agrees to an abortion should he find the pregnancy a hazard to her health. The Barrett household soon becomes a hotbed of supernatural activity that terrorizes both Gail and Ken when their father is away. Meanwhile, Jessica exhibits increasingly horrifying behavior akin to demonic possession, such as inhumanly twisting her head, wheezing and projectile vomiting.

Robert is contacted by a mysterious man named Dimitri who instructs him to sequester Jessica in their house and keep visitors away, assuring that the child is born. Jessica grows progressively ill, exhibiting a fever, loose stools and other bizarre symptoms, and becomes bedridden. Under Dimitri's instructions, George has Jessica placed in a straitjacket to prevent her from violently lashing out. When George visits her, Jessica alternately pleads for his help before cursing at him in a deep, demonic voice. George has Jessica undergo a series of tests, including scans of her brain, but none of them show any neurological anomalies.

After Robert is subject to a torrent of violent supernatural behavior from Jessica, it is revealed that Dimitri is a lover from Jessica's past, and that he is a Satanist who has arranged for her to give birth to the Antichrist, in exchange for the demonic spirit having saved him from dying in a car accident years prior. In a violent confrontation between Jessica and Dimitri, the demonic entity turns on him, and implies that all of the events that have taken place were arranged for its own amusement. The entity murders Dimitri before departing Jessica's body, after which she immediately has a stillbirth.

Some time later, a healthy Jessica accompanies Robert and their children at Pier 39. Ken takes a red toy car and menacingly throws it at Jessica's face."
1974,The Texas Chain Saw Massacre,Killer,Tobe Hooper,37,"Sally Hardesty, her paraplegic brother Franklin, and their friends, Jerry, Kirk, and Pam visit the grave of the Hardestys' grandfather to investigate reports of vandalism and grave robbing. Afterwards, they decide to visit the old Hardesty family homestead. Along the way, they pick up a hitchhiker, who talks about his family who worked at the old slaughterhouse. He borrows Franklin's pocket knife and cuts himself, then takes a single Polaroid picture of Franklin, for which he demands money. When they refuse to pay, he burns the photo, and slashes Franklin's left arm with a straight razor. The group forces him out of the van and drive on. They stop at a gas station to refill their vehicle, but the proprietor tells them that the pumps are empty.

They continue toward the homestead, intending to return to the gas station once it has received a fuel delivery. When they arrive, Franklin tells Kirk and Pam about a local swimming hole, and the couple go to find it. They stumble upon a nearby house, and Kirk calls out for gas, entering through the unlocked door, while Pam waits outside. Leatherface, a large mute man wearing a mask made from human skin, suddenly appears and kills Kirk with a hammer. Pam enters soon after and trips into a room filled with furniture made from human bones. She attempts to flee, but Leatherface catches her and impales her on a meathook, making her watch as he butchers Kirk with a chainsaw. Jerry heads out to look for Pam and Kirk at sunset. He sees the house and finds Pam, still alive, inside a freezer. Before he can react, Leatherface kills him.

With darkness falling, Sally and Franklin set out to find their friends. As they near the neighboring house and call out, Leatherface lunges from the darkness and kills Franklin with a chainsaw. Sally runs toward the house and finds the desiccated remains of an elderly couple upstairs. She escapes from Leatherface by jumping through a second-floor window, and she flees to the gas station. The proprietor calms her with offers of help, but then he ties her up, gags her, and forces her into his truck. He drives to the house, arriving at the same time as the hitchhiker, now revealed as Leatherface's brother. The hitchhiker recognizes Sally and taunts her.

The men torment the bound and gagged Sally while Leatherface, now dressed as a woman, serves dinner. Leatherface and the hitchhiker bring down one of the desiccated bodies from upstairs, that of their Grandpa. He is revealed to be alive when he sucks blood from a cut on Sally's finger. They decide that Grandpa, the best killer in the old slaughterhouse, should kill Sally. He tries to hit her with a hammer, but he is too weak. In the ensuing struggle, she breaks free, leaps through a window, and flees to the road. Leatherface and the hitchhiker give chase, but the latter is run over and killed by a passing truck. Leatherface attacks the truck with his chainsaw, and, when the driver stops to help, he knocks Leatherface down with a pipe wrench, causing the chainsaw to cut his leg. The driver flees, and Sally escapes in the back of a passing pickup truck as Leatherface maniacally flails his chainsaw in the air in anger and defeat."
1974,It's Alive!,Monster,Larry Cohen,55,"In Los Angeles, Frank Davis and his wife Lenore are expecting their second child. Frank is a successful public relations consultant and his wife is a stay-at-home mom for their first child, Chris. The couple avoided having a child for several years while Lenore took contraceptive pills. When their child is ready to be born, they leave Chris with a family friend, Charley, and go to the hospital. Their second child, a baby boy, is born monstrously deformed, with fangs and claws. Immediately after birth it kills the doctors and nurses in the delivery room and flees through a skylight. Lenore is left alive, screaming for her child as a horrified Frank discovers the carnage.

Frank and Lenore are allowed to leave the hospital while the police, including Lt. Perkins, investigate the killings. Frank and Lenore receive attention from the press, which results in Frank being fired from his job at a public relations company. Meanwhile, the Davis' baby lurks around outdoors, killing several people, including a milkman. As the killings continue, the press and the police hound Frank and Lenore. Frank meets with medical researchers who convince him to sign documents allowing them to experiment on the child's body once it has been found and killed. Frank denies that the child is his son and joins the hunt for the murderous infant.

The doctor who prescribed the contraceptive pills to Lenore is contacted by an executive of a pharmaceutical company. The executive acknowledges that the Davis' child's mutation may have been caused by the drugs. He tells the doctor that the child must be destroyed to prevent discovery of the company's liability. Meanwhile, the child makes its way to a school. Frank learns of the child's location and arrives at the school, where police officers are present. Frank informs Lt. Dixon that Chris attends the school. The baby attacks and kills an officer in a classroom before escaping through a window into the night.

Later, Frank discovers that Lenore is hiding the infant in the basement of their home. Chris runs away from Charley's house in order to get back home, and Charley drives after him. Lenore pleads with Frank and promises that the baby would not hurt their family. Frank, armed with a gun, enters the basement, where he finds Chris talking to the baby and promising to protect him. Frank shoots at the baby, injuring it. The infant flees the basement and attacks Charley, biting him on the neck and killing him.

The police track the infant into the sewers, where Frank hunts him with a rifle. When he finds the baby, he realizes that it is frightened. He apologizes to the child and picks him up. Wrapping the baby in his coat, Frank tries to elude the police, but a mob of armed cops confronts him as he exits the sewers. He pleads for them to study the child, but to not harm him. A fertility doctor shouts at the police to kill him. The child suddenly leaps from Frank's arms and attacks the doctor as the cops open fire, killing both the infant and the doctor. As the Davises are escorted away by the police, Lt. Perkins receives news that another deformed baby has been born in Seattle."
1974,Abby,Supernatural,William Girdler,59,"The film's use of the Yoruba religion distinguishes it from The Exorcist. In the story, Abby is apparently possessed by Eshu, a West African orisha of chaos and whirlwinds. He is also a trickster and the guardian of roads, particularly crossroads.

In the opening scene of the film, Dr. Garrett Williams (William Marshall) explains to his students, ""Eshu is the most powerful of all earthly deities. Eshu is a trickster, creator of whirlwinds... chaos.""

While on an archaeological dig in a cave in Nigeria, Dr. Williams finds a small, ebony puzzle box, carved with the symbols of Eshu: the whirlwind, the cock's comb, and the erect phallus. When Dr. Williams discovers the mechanism to open the box and unlatches it, a tremendous wind blasts out, knocking Dr. Williams and his men against the cave walls and floor.

The spirit released by Dr. Williams crosses the Atlantic to Louisville, Kentucky to the new home of Dr. Williams' son, Emmett Williams (Terry Carter) and Abby Williams (Carol Speed). Why and how the spirit travels the globe is not explained. After Abby becomes possessed, her behavior becomes exponentially bizarre and dangerous.

In the movie, the dialogue doesn't specify whether the spirit inside Abby is Eshu. The plot's final resolution leaves the point unclear.[3] In And You Call Yourself A Scientist, Elizabeth A. Kingsley wrote ""from a theological point of view, the final section of Abby is quite fascinating. Toward the end of the film, having spent some time taking the demon's measure, Garret decides that it is not in fact Eshu, but a rather pathetic Eshu wannabe... who presumably was imprisoned by Eshu.""[4]"
1974,Impulse,Killer,William Grefe,70,"A paranoid, leisure-suit-wearing conman/gigolo named Matt Stone seduces lonely women, bilks them of their savings via an investment scam, then kills them. When he begins seeing an attractive widow, her daughter Tina becomes suspicious of his motives."
1975,Jaws,Monster,Steven Spielberg,1,"In the beach town of Amity Island, a young woman, Chrissie Watkins, goes skinny dipping in the ocean. While treading water, she is unknowingly attacked by an unseen force. The next day, her partial remains are found on shore. The medical examiner's conclusion that the death was due to a shark attack leads police chief Martin Brody to close the beaches. Mayor Larry Vaughn persuades him to reverse his decision, fearing that the town's summer economy will be ruined. The coroner tentatively concurs with the mayor's theory that Chrissie was killed in a boating accident. Brody reluctantly accepts their conclusion until the shark kills a young boy, Alex Kintner, in full view of a crowded beach. A bounty is placed on the shark, causing an amateur shark-hunting frenzy, and local professional shark fisherman Quint offers to catch and kill it for $10,000. Meanwhile, consulting oceanographer Matt Hooper examines Chrissie's remains, and confirms her death was caused by a shark—an unusually large one.

When local fishermen catch a tiger shark, the mayor proclaims that the beach is safe. Mrs. Kintner, Alex's mother, confronts Brody and blames him for her son's death. Hooper expresses doubts that the tiger shark is responsible for the attacks, and his suspicions are confirmed when, after an examination, no human remains are found inside its stomach. Hooper and Brody find a half-sunken vessel while searching the night waters in Hooper's boat. Underwater, Hooper removes a sizable great white shark's tooth from the boat's hull, but drops it in fright after discovering the partial corpse of local fisherman Ben Gardner. Vaughn dismisses Brody and Hooper's assertions that a huge great white shark is responsible for the deaths, and refuses to close the beaches, allowing only increased safety precautions. On the Fourth of July weekend, tourists pack the beaches. Following a juvenile prank with a fake shark, the real shark enters a nearby lagoon, killing a boater and causing Brody's oldest son, Michael, to go into shock. Brody then convinces a guilt-ridden Vaughn to hire Quint.

Quint, Brody, and Hooper set out on Quint's boat, the Orca, to hunt the shark. While Brody lays down a chum line, Quint waits for an opportunity to hook the shark. Without warning, it appears behind the boat. Quint, estimating its length at 25 feet (7.6 m) and weight at 3 tonnes (3.0 long tons; 3.3 short tons), harpoons it with a line attached to a flotation barrel, but the shark pulls the barrel underwater and disappears.

At nightfall, Quint and Hooper drunkenly exchange stories about their assorted scars, and Quint reveals that he survived the attack on the USS Indianapolis. The shark returns unexpectedly, ramming the boat's hull, and disabling the power. The men work through the night, repairing the engine. In the morning, Brody attempts to call the Coast Guard, but Quint, who has become obsessed with killing the shark without outside assistance, smashes the radio. After a long chase, Quint harpoons the shark with another barrel. The line is tied to the stern cleats, but the shark drags the boat backward, swamping the deck and flooding the engine compartment. Quint prepares to sever the line to prevent the transom from being pulled out but the cleats break off, keeping the barrels attached to the shark. Quint heads toward shore to draw the shark into shallower waters, but he overtaxes the damaged engine and it blows up.

As the Orca slowly sinks, the trio attempts a riskier approach. Hooper enters the water in a shark-proof cage, intending to lethally inject the shark with strychnine, using a hypodermic spear. The shark attacks the cage, causing Hooper to drop the spear, which sinks and is lost. While the shark thrashes in the tangled remains of the cage, Hooper manages to escape to the seabed. The shark breaks free and leaps onto the boat, devouring Quint in the process. Trapped on the sinking vessel, Brody shoves a pressurized scuba tank into the shark's mouth and climbs onto the crow's nest. Using Quint's rifle, he shoots the tank, which explodes and obliterates the shark. Hooper surfaces, and he and Brody paddle back to Amity Island clinging to the remaining barrels."
1975,The Rocky Horror Picture Show,Horror comedy,Jim Sharman,2,"A criminologist narrates the tale of the newly engaged and innocent couple, Brad Majors and Janet Weiss, who find themselves lost and with a flat tire on a cold and rainy late November evening, near a town called Denton in 1974. Seeking a telephone, the couple walks to a nearby castle where they discover a group of strange and outlandish people who are holding an Annual Transylvanian Convention. They are soon swept into the world of Dr. Frank-N-Furter, a self-proclaimed ""sweet transvestite from Transsexual, Transylvania"". The ensemble of convention attendees also includes servants Riff Raff, his sister Magenta, and a groupie named Columbia.

In his lab, Frank claims to have discovered the ""secret to life itself"". His creation, Rocky, is brought to life. The ensuing celebration is soon interrupted by Eddie (an ex-delivery boy, both Frank's ex-lover and Columbia's current partner, as well as partial brain donor to Rocky) who rides out of a deep freeze on a motorcycle. Eddie then proceeds to seduce Columbia, get the Transylvanians dancing and singing and intrigue Brad and Janet. When Rocky starts dancing and enjoying the performance, a jealous Frank kills Eddie with a pickaxe. Columbia screams in horror, devastated by Eddie's death. Frank justifies killing Eddie as a ""mercy killing"" to Rocky and they depart to the bridal suite.

Brad and Janet are shown to separate bedrooms, where each is visited and seduced by Frank, who poses as Brad (when visiting Janet) and then as Janet (when visiting Brad). Janet, upset and emotional, wanders off to look for Brad, when she discovers Frank in bed with Brad (who is smoking a cigarette) on a video monitor. She then discovers Rocky, cowering in his birth tank, hiding from Riff Raff, who has been tormenting him. While tending to his wounds, Janet becomes intimate with Rocky, as Magenta and Columbia watch from their bedroom monitor.

After discovering that his creation is missing, Frank returns to the lab with Brad and Riff Raff, where Frank learns that an intruder has entered the building. Brad and Janet's old high school science teacher, Dr. Everett V. Scott, has come looking for his nephew, Eddie. Frank suspects that Dr. Scott investigates UFOs for the government. Upon learning of Brad and Janet's connection to Dr. Scott, Frank suspects them of working for him; Brad denies any knowledge of it, and Dr. Scott assures Frank that Brad is not involved in UFOs. Frank, Dr. Scott, Brad, and Riff Raff then discover Janet and Rocky together under the sheets in Rocky's birth tank, upsetting Frank and Brad. Magenta interrupts the reunion by sounding a massive gong and stating that dinner is prepared.

Rocky and the guests share an uncomfortable dinner, which they soon realise has been prepared from Eddie's mutilated remains. Janet runs screaming into Rocky's arms, provoking Frank to chase her through the halls. Janet, Brad, Dr. Scott, Rocky, and Columbia all meet in Frank's lab, where Frank captures them with the Medusa Transducer, transforming them into nude statues. After dressing them in cabaret costumes, Frank ""unfreezes"" them, and they perform a live cabaret floor show, complete with an RKO tower and a swimming pool, with Frank as the leader.

Riff Raff and Magenta interrupt the performance, revealing themselves and Frank to be aliens from the planet Transsexual in the galaxy of Transylvania. They stage a mutiny and announce a plan to return to their home planet. In the process, they kill Columbia and Frank, who has ""failed his mission"". An enraged Rocky gathers Frank in his arms, climbs to the top of the tower, and plunges to his death in the pool below. Riff Raff and Magenta release Brad, Janet, and Dr. Scott, then depart by lifting off in the castle itself. The survivors are then left crawling in the dirt, and the narrator concludes that the human race is equivalent to insects crawling on the planet's surface, ""lost in time, and lost in space... and meaning""."
1975,The Reincarnation of Peter Proud,Psychological,J. Lee Thompson,36,"Peter Proud, a college professor in Los Angeles, begins having recurring dreams he cannot explain. In one particular nightmare, Peter witnesses the murder of a young man by his girlfriend, Marcia, while he swims naked in a lake near a hotel. As he screams his final words, ""Marcia, don't!,"" she bludgeons him with an oar, and he drowns. In subsequent dreams, Peter witnesses brief vignettes from the man's life, including romances with two different women, and has visions of houses and landmarks that are unknown to him.

Peter is haunted by his dreams and seeks medical treatment. He attends a sleep laboratory to try to decipher his dreams. However, the resident doctor, Sam Goodman, informs him that his dreams do not register as being dreams; in fact, they do not register at all. One evening while watching television, several of Peter's visions play out before him on a local documentary film titled The Changing Face of America. He sees an arch and church that have been dominating his dreams, and calls the television station to discover the location. Upon learning that the location of his ""visions"" is in Massachusetts, Proud and his girlfriend Nora travel there.

In Massachusetts, the couple drive from town to town, but are unsuccessful until they arrive in Springfield. It is here that Proud begins to see familiar sights from his visions, such as a bridge, a church, the Puritan statue, and others. Nora decides to return to California, tired of Peter's relentless searching, which she dismisses as delusion. After Nora leaves, Peter continues his journey. Eventually, Peter locates Marcia, the mystery woman from his nightmares, now a middle-aged alcoholic. Peter subsequently befriends Marcia's daughter Ann at a local country club where Marcia's husband Jeff was once a tennis pro; Ann has recently returned home to care for her emotionally unstable mother. Through his research, Peter uncovers that Jeff was found drowned in the lake in 1946 under mysterious circumstances.

Marcia is suspicious of Peter and curious about his motives, specifically how much he seems to know about her life. Ann and Peter quickly develop a romance, much to the disapproval of Marcia, who responds by increasingly drinking and taking prescription drugs. Peter initially has some hesitation toward pursuing a relationship with Ann after considering that she may have been his daughter in a previous life, but he ultimately chooses to continue the romance. Ann tells Peter her father proposed to Marcia.

One afternoon, Marcia accompanies Peter and Ann to the country club, where they lounge at the poolside. While Ann goes for a swim, Marcia witnesses a sleeping Peter repeating the phrase ""Marcia, don't!"" in Jeff's voice. This horrifies her, and she flees home where she locks herself in her bedroom. Later, she masturbates to the memory of Jeff raping her after she confronted him about an affair he had while she was pregnant with Ann. The following day, Marcia confronts Peter, demanding to know his true identity. The two get into a heated argument, during which he confirms that he is a reincarnation of her deceased husband.

Meanwhile, Peter realizes that by having re-enacted or visited the sites of his visions, they seem to have ceased haunting him. The lake vision of Jeff's murder is his last to be conquered. Drawn to the lake where Jeff died years prior, Peter enters the water, hoping to unfetter himself from the vision. While in the water, Marcia approaches him in the same boat she did Jeff years ago, now brandishing a pistol. Addressing Peter as Jeff, Marcia asks why he has returned to torment her, and accuses him of incest with Ann. When Peter tries to climb into the boat, Marcia shoots him to death. She watches as his body sinks to the bottom of the lake."
